"","AcrA-AcrB-TolC","CeoAB-OpcM","CMR","mef-msr","MexAB-OprM","MexEF-OprN","MexJK-OprM","MexPQ-OpmE","MexVW-OprM","MFS","MtrCDE","tet"
"P1_SDOM_04500_M",0,0,0,0.00074742711463931,0,0,0,0,0,0,0.00186856778659828,0.000373713557319655
"P10_TIET_02090_M",0.00696582422385168,0.00058048535198764,0,0,0.00232194140795056,0,0,0,0.00058048535198764,0,0,0
"P11_SDOM_04500_J",0,0,0,0,0,0,0,0,0,0,0.00100162763656252,0.000333875878854172
"P12_TIET_02400_J",0,0,0.000593436054246049,0.000593436054246049,0,0,0,0,0,0,0.00296718027123025,0.0011868721084921
"P13_TIET_02050_J",0,0,0,0,0,0,0,0,0,0,0,0
"P14_TIET_04200_J",0.000465983342076882,0.000465983342076882,0.000465983342076882,0.00326188339453817,0,0,0,0,0,0,0,0.00186393336830753
"P15_TIET_03130_J",0,0,0,0,0,0,0,0,0,0,0,0
"P16_TIET_02090_J",0,0,0,0,0,0,0,0,0,0,0,0
"P2_PARD_02400_M",0,0,0,0,0,0,0,0,0,0,0.000659482877475423,0
"P3_PARD_02400_J",0,0,0,0,0,0,0,0,0,0,0,0
"P4_PARD_02500_M",0,0,0,0,0,0,0,0,0,0,0.000526065519617135,0
"P5_PARD_02500_J",0,0,0,0,0,0,0,0,0,0,0,0
"P6_TIET_02400_M",0,0,0,0,0,0,0,0,0,0.00156903209266626,0.00549161232433192,0.000784516046333132
"P7_TIET_02050_M",0.00372521661580495,0.00124173887193498,0,0,0.00186260830790247,0,0.000620869435967492,0,0,0,0,0
"P8_TIET_04200_M",0.00469616521583354,0,0,0.000939233043166708,0.00187846608633342,0,0,0,0,0,0,0
"P9_TIET_03130_M",0.0247542210853591,0,0,0,0.00795671392029399,0.00176815864895422,0.00088407932447711,0.00176815864895422,0,0,0,0
