""," Adherence "," Biofilm "," Effector delivery system "," Immune modulation "," Motility "," Nutritional/Metabolic factor "," Others "," Regulation "," Stress survival "
"P1_SDOM_04500_M",0.000373713557319655,0,0.00074742711463931,0.000373713557319655,0.000373713557319655,0.00074742711463931,0.00186856778659828,0.00822169826103241,0.00112114067195897
"P10_TIET_02090_M",0.0150926191516786,0.00638533887186404,0.0197365019675798,0.00406339746391348,0.0388925185831719,0.00986825098378988,0,0.00116097070397528,0
"P11_SDOM_04500_J",0.000333875878854172,0,0.00166937939427086,0.00133550351541669,0,0.00100162763656252,0.00100162763656252,0.00701139345593762,0.00133550351541669
"P12_TIET_02400_J",0,0,0,0.00534092448821444,0.00296718027123025,0.000593436054246049,0.0023737442169842,0.012462157139167,0
"P13_TIET_02050_J",0,0,0,0.00128341169241211,0,0,0,0.000427803897470702,0
"P14_TIET_04200_J",0.00745573347323011,0.000931966684153763,0.00698975013115322,0.00372786673661505,0.00605778344699946,0,0,0,0
"P15_TIET_03130_J",0,0,0.00145725239296374,0.00291450478592747,0,0,0.00145725239296374,0.00437175717889121,0
"P16_TIET_02090_J",0,0,0,0.00171686463431209,0,0,0,0,0
"P2_PARD_02400_M",0,0,0,0.000659482877475423,0,0.000659482877475423,0.000659482877475423,0.00395689726485254,0.000659482877475423
"P3_PARD_02400_J",0.000388384874027013,0,0,0,0,0,0,0,0
"P4_PARD_02500_M",0.000526065519617135,0,0,0.000789098279425702,0.000789098279425702,0.000263032759808567,0.000263032759808567,0.000789098279425702,0.000263032759808567
"P5_PARD_02500_J",0,0,0,0,0,0,0,0,0
"P6_TIET_02400_M",0.000784516046333132,0,0,0.00313806418533253,0.00156903209266626,0,0.00313806418533253,0.0156903209266626,0
"P7_TIET_02050_M",0.0291808634904721,0.0136591275912848,0.0254556468746672,0.0074504332316099,0.0763669406240015,0.0204886913869272,0,0.00248347774386997,0
"P8_TIET_04200_M",0.0150277286906673,0.00939233043166708,0.0112707965180005,0.00375693217266683,0.0469616521583354,0.00845309738850038,0,0.000939233043166708,0
"P9_TIET_03130_M",0.0945964877190508,0.031826855681176,0.0671900286602604,0.00707263459581688,0.264339718018656,0.0680741079847375,0,0.00088407932447711,0
